attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,107215.0,33911.0,12355.0,6828.0,4592.0,2386.0,1973.6546834376552,1343.3542404281345
0.0,0.0,746.0,53.0,19.0,13.0,21.0,80.0,33.24374440566764,30.358991221575423
0.0,0.0,1239596.0,197971.0,26679.0,51214.0,32486.0,14370.0,12537.997608124264,8365.613120818658
0.0,0.0,904326.0,54915.0,28922.0,20282.0,15862.0,16922.0,12164.981082461743,9822.502812426921
0.0,0.0,96847.0,41828.0,1469.0,2152.0,705.0,895.0,446.19784421268344,346.23096800143793
0.0,0.0,221143.0,114901.0,19054.0,15995.0,1263.0,2999.0,1189.7211206954978,755.2323910766103
41.0,53.0,893968.0,64795.0,59077.0,9585.0,3958.0,7809.0,2649.441926239895,1144.9318628099213
48.0,63.0,2112701.0,55135.0,20066.0,34214.0,9751.0,10130.0,3656.165229320651,2271.5014046636506
47.0,70.0,917718.0,60100.0,11371.0,24494.0,7991.0,3609.0,2273.6051574243165,1691.5500200503845
44.0,60.0,548051.0,62249.0,1928.0,2546.0,5001.0,2353.0,1473.7230187129894,740.2178867291002
35.0,53.0,1016053.0,59130.0,19127.0,8617.0,1762.0,1686.0,1247.903803591012,834.0880679344087
23.0,44.0,115459.0,100136.0,20061.0,14366.0,11701.0,3514.0,3370.2456717796535,1686.9267731311031
21.0,44.0,300820.0,58803.0,16419.0,16449.0,6775.0,3413.0,2184.645190494057,1563.1773436435926
26.0,67.0,995829.0,25624.0,9534.0,14872.0,1722.0,2600.0,859.0385052843634,646.5104226755692
37.0,75.0,173022.0,7084.0,7966.0,1387.0,2597.0,1134.0,977.6010687326855,644.3983310972025
50.0,67.0,634240.0,118105.0,7865.0,10886.0,17959.0,14240.0,7154.04493141257,6863.010842032113
54.0,66.0,31075.0,60596.0,27708.0,7314.0,11972.0,6647.0,4379.615114385636,2417.1992321150865
48.0,61.0,119033.0,34508.0,13087.0,3991.0,2633.0,1397.0,1270.6570825119875,672.281649491826
50.0,51.0,2911465.0,79310.0,15725.0,15229.0,22610.0,8344.0,7245.296279144111,3083.9327034354355
56.0,69.0,15577.0,17959.0,24885.0,17707.0,15569.0,11772.0,5321.450864597555,3871.6778403532967
57.0,67.0,92762.0,10007.0,3087.0,2061.0,1557.0,1088.0,803.2533160985521,581.5486208885799
78.0,66.0,881954.0,100666.0,15072.0,43703.0,38019.0,33775.0,17428.624105361618,11465.341635950599
67.0,57.0,997597.0,788144.0,79961.0,17525.0,24229.0,26091.0,9645.124123367626,5779.568742833739
60.0,47.0,420963.0,61972.0,8789.0,13354.0,5168.0,6658.0,2613.5134975795595,2216.25189725972
77.0,47.0,71766.0,4992.0,3344.0,757.0,2508.0,3811.0,2198.933607934663,996.5003705870989
66.0,43.0,615442.0,382483.0,36426.0,73343.0,25841.0,37363.0,15360.91618763057,9924.511002467061
69.0,44.0,157041.0,14216.0,1241.0,1216.0,1136.0,796.0,474.92685459574056,373.1190076416168
69.0,48.0,635834.0,149096.0,55450.0,14181.0,14732.0,18105.0,9089.346503666802,7547.604429814013
44.0,56.0,1377152.0,142104.0,70975.0,92699.0,17507.0,9121.0,5452.481928309122,3580.7008650290268
47.0,61.0,964976.0,99069.0,25214.0,33302.0,28946.0,12744.0,10090.035491203544,8441.08473767342
48.0,63.0,799397.0,506192.0,57884.0,44642.0,15852.0,40101.0,10732.221086521748,7233.600114769737
41.0,61.0,820761.0,423707.0,133909.0,8614.0,14843.0,19117.0,6724.60954578685,3581.0635344271072
41.0,48.0,70049.0,4261.0,686.0,494.0,739.0,172.0,319.1184455270045,283.97508122396613
40.0,44.0,461874.0,172554.0,17401.0,34220.0,8607.0,14079.0,5068.949780097884,4260.424946761226
51.0,56.0,350501.0,11793.0,9851.0,3341.0,4824.0,5726.0,2685.479316990576,1637.2917157770296
56.0,53.0,208404.0,43424.0,10971.0,1788.0,6722.0,3111.0,2401.172615599977,2197.853610846513
66.0,56.0,200779.0,112227.0,9231.0,36113.0,11667.0,14866.0,6279.422651397778,5771.104089894247
77.0,63.0,386223.0,44531.0,15108.0,25883.0,12870.0,14691.0,4072.103532000057,3319.0345651436855
77.0,50.0,780378.0,90834.0,16546.0,8144.0,45140.0,27994.0,17653.7349430798,11618.61094859388
84.0,48.0,746581.0,50629.0,8630.0,5048.0,11761.0,9538.0,5285.360597681824,2229.0498386800464
93.0,30.0,1112923.0,86751.0,3144.0,3048.0,8534.0,21301.0,5978.346610869116,4483.734610031822
83.0,24.0,1148205.0,88795.0,13506.0,16378.0,3079.0,7126.0,3391.0896592036893,2127.7126525420417
74.0,29.0,91410.0,45749.0,5651.0,8675.0,8004.0,4949.0,2711.3089482409605,1707.4576930727567
70.0,27.0,35656.0,104887.0,20219.0,4921.0,32290.0,14644.0,12341.181718941314,9206.832009104846
66.0,44.0,571858.0,47555.0,14514.0,14986.0,30610.0,11163.0,8718.304112921413,6729.287899284698
75.0,51.0,371824.0,38154.0,24426.0,5662.0,3259.0,10721.0,3268.9175795999076,2731.541195032144
93.0,53.0,4752.0,4502.0,1356.0,4241.0,2527.0,14217.0,3495.2039075188104,2286.3082931443346
90.0,61.0,133806.0,15293.0,4534.0,4105.0,3054.0,3328.0,1840.6731127379155,911.3318128001866
100.0,56.0,27853.0,18241.0,3516.0,5264.0,4340.0,20831.0,5509.984040954359,4058.366282360598
97.0,57.0,561816.0,16268.0,17247.0,13711.0,17116.0,13110.0,7361.842341462991,4911.510550249991
94.0,54.0,2965.0,10050.0,3993.0,2006.0,8370.0,13048.0,3849.226169223336,2467.7760606473607
91.0,60.0,41165.0,66696.0,52231.0,33544.0,34199.0,14862.0,10717.581145971091,6298.520759356652
67.0,61.0,1301118.0,115784.0,19795.0,11147.0,6563.0,5894.0,3006.2666469249043,2274.4424988778496
70.0,54.0,428884.0,21521.0,11470.0,2665.0,6594.0,13573.0,5572.846294046005,4037.1977502489626
70.0,56.0,2005.0,7399.0,1504.0,3142.0,3019.0,10150.0,3142.227011185967,2166.809272395167
69.0,53.0,317824.0,127894.0,52619.0,11901.0,6595.0,12868.0,3018.5576213773666,2101.7856224508287
77.0,54.0,70801.0,18142.0,10759.0,1443.0,12404.0,3382.0,3554.7277509901865,3714.17113894541
67.0,60.0,84601.0,50648.0,23954.0,19193.0,10509.0,10657.0,5124.445334570918,3803.4485362199657
54.0,64.0,364707.0,60549.0,10583.0,18946.0,1967.0,13514.0,3115.8416295776583,1671.2909453380319
53.0,60.0,1482243.0,258504.0,58598.0,28256.0,22168.0,17023.0,11175.965159282083,8999.676444056357
40.0,48.0,975411.0,460661.0,33993.0,14692.0,39026.0,12111.0,12645.10597118738,7241.672076966468
48.0,26.0,1031676.0,22685.0,945.0,1031.0,3220.0,8103.0,2927.338185192511,1474.6198291857208
61.0,16.0,6023.0,8051.0,357.0,2058.0,3864.0,9919.0,3244.990790910692,3266.6147203487494
64.0,16.0,975272.0,120174.0,3725.0,40987.0,5088.0,13409.0,3228.710651198349,2004.1198442543362
88.0,27.0,14753.0,14358.0,3202.0,7154.0,5941.0,9223.0,3648.3310195416047,2296.673295169665
75.0,54.0,2144706.0,20736.0,18657.0,8450.0,6590.0,3094.0,1874.7593856858157,1330.3270412540105
56.0,63.0,386441.0,17367.0,6695.0,1208.0,6621.0,1853.0,1774.705594492923,1359.9621152071322
61.0,67.0,577356.0,54981.0,10596.0,29194.0,8581.0,16027.0,4661.64580937062,4274.686397912343
44.0,74.0,1100650.0,508151.0,237706.0,105452.0,75388.0,35336.0,22661.49629871098,14841.271989054381
